| time |reset|ARegister|DRegister|PC[]|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0    |  0  |       0 |       0 |   0|       3 |       5 |       0 |
| 1    |  0  |       0 |       0 |   1|       3 |       5 |       0 |
| 2    |  0  |       0 |       0 |   2|       3 |       5 |       0 |
| 3    |  0  |       1 |       0 |   3|       3 |       5 |       0 |
| 4    |  0  |       1 |      -1 |   4|       3 |       5 |       0 |
| 5    |  0  |      10 |      -1 |   5|       3 |       5 |       0 |
| 6    |  0  |      10 |      -1 |   6|       3 |       5 |       0 |
| 7    |  0  |       1 |      -1 |   7|       3 |       5 |       0 |
| 8    |  0  |       1 |       1 |   8|       3 |       5 |       0 |
| 9    |  0  |      12 |       1 |   9|       3 |       5 |       0 |
| 10   |  0  |      12 |       1 |  12|       3 |       5 |       0 |
| 11   |  0  |       2 |       1 |  13|       3 |       5 |       0 |
| 12   |  0  |       2 |       1 |  14|       3 |       5 |       0 |
| 13   |  0  |      14 |       1 |  15|       3 |       5 |       0 |
| 14   |  0  |      14 |       1 |  14|       3 |       5 |       0 |
| 15   |  1  |      14 |       1 |   0|       3 |       5 |       0 |
| 15   |  0  |      14 |       1 |   0|   23456 |   12345 |       0 |
| 16   |  0  |       0 |       1 |   1|   23456 |   12345 |       0 |
| 17   |  0  |       0 |       0 |   2|   23456 |   12345 |       0 |
| 18   |  0  |       1 |       0 |   3|   23456 |   12345 |       0 |
| 19   |  0  |       1 |      -1 |   4|   23456 |   12345 |       0 |
| 20   |  0  |      10 |      -1 |   5|   23456 |   12345 |       0 |
| 21   |  0  |      10 |      -1 |   6|   23456 |   12345 |       0 |
| 22   |  0  |       1 |      -1 |   7|   23456 |   12345 |       0 |
| 23   |  0  |       1 |       1 |   8|   23456 |   12345 |       0 |
| 24   |  0  |      12 |       1 |   9|   23456 |   12345 |       0 |
| 25   |  0  |      12 |       1 |  12|   23456 |   12345 |       0 |
